Player,Set,Variation,Grade,Sale Price,Date,Link,Charts
A'ja Wilson,,Silver,BGS 9.5,abc,28/08/2021,https://www.ebay.com/sch/i.html?_nkw=%282020%2C20-21%29+Prizm+WNBA+%28a%27ja%2Caja%29+wilson+%22BGS+9.5%22+-%28psa%2Csgc%29+silver+-%28green%2Cice%2Chyper%2Cruby%2Cwave%2Cred%2Cblue%2Cpurple%2Cscope%2Corange%2Cpulsar%2Cmojo%2Cgold%2Cblack%29+-%28premium%2Cfotl%2Cdominance%2Cemergent%2Cfar%2Cfireworks%2Cget%2Cwidescreen%29+-%28auto%2Cautograph%2Cautographs%2Csignature%2Csignatures%2Cpatch%2Crelic%2Crelics%2Cjerseys%2Cmemorabilia%2Cswatch%29,[]
,,,,,28/08/2021,,
